Sea_Name,Date,Sea_Level_MM
Andaman Sea,1992-12-17 00:00:00,-10.34
Arabian Sea,1992-12-17 00:00:00,-18.46
Atlantic Ocean,1992-12-17 00:00:00,-15.41
Baltic Sea,1992-12-17 00:00:00,196.85
Bay Bengal,1992-12-17 00:00:00,3.27
Caribbean Sea,1992-12-17 00:00:00,-13.58
Gulf Mexico,1992-12-17 00:00:00,-3.95
Indian Ocean,1992-12-17 00:00:00,-27.63
Indonesian,1992-12-17 00:00:00,-3.09
Mediterranean,1992-12-17 00:00:00,39.02
Nino,1992-12-17 00:00:00,-3.13
North Pacific,1992-12-17 00:00:00,19.59
North Sea,1992-12-17 00:00:00,44.01
Pacific Ocean,1992-12-17 00:00:00,-14.88
Persian Gulf,1992-12-17 00:00:00,134.53
Sea Japan,1992-12-17 00:00:00,-46.65
Sea Okhotsk,1992-12-17 00:00:00,-4.39
South China,1992-12-17 00:00:00,-4.6
Southern Ocean,1992-12-17 00:00:00,-24.43
Tropics,1992-12-17 00:00:00,-19.64
World,1992-12-17 00:00:00,-15.95
Yellow Sea,1992-12-17 00:00:00,-70.61
Adriatic Sea,1992-12-18 00:00:00,9.19
Bering Sea,1992-12-18 00:00:00,-5.35
North Atlantic,1992-12-18 00:00:00,-0.23
Andaman Sea,1992-12-26 00:00:00,-2.64
Baltic Sea,1992-12-26 00:00:00,228.05
Bay Bengal,1992-12-26 00:00:00,11.67
Mediterranean,1992-12-26 00:00:00,-12.98
North Sea,1992-12-26 00:00:00,63.31
Persian Gulf,1992-12-26 00:00:00,112.23
Sea Japan,1992-12-26 00:00:00,-23.05
Sea Okhotsk,1992-12-26 00:00:00,-38.09
South China,1992-12-26 00:00:00,-15.9
Arabian Sea,1992-12-27 00:00:00,8.14
Atlantic Ocean,1992-12-27 00:00:00,-10.31
Bering Sea,1992-12-27 00:00:00,-30.85
Caribbean Sea,1992-12-27 00:00:00,-2.48
Gulf Mexico,1992-12-27 00:00:00,-13.75
Indian Ocean,1992-12-27 00:00:00,-10.03
Indonesian,1992-12-27 00:00:00,3.81
Nino,1992-12-27 00:00:00,-8.93
North Atlantic,1992-12-27 00:00:00,-0.53
North Pacific,1992-12-27 00:00:00,-8.31
Pacific Ocean,1992-12-27 00:00:00,-27.18
Southern Ocean,1992-12-27 00:00:00,-16.73
Tropics,1992-12-27 00:00:00,-22.34
World,1992-12-27 00:00:00,-17.65
Yellow Sea,1992-12-27 00:00:00,-44.41
Adriatic Sea,1992-12-28 00:00:00,-51.91
Baltic Sea,1993-01-04 00:00:00,-2.95
South China,1993-01-04 00:00:00,-17.5
Andaman Sea,1993-01-05 00:00:00,-79.04
Arabian Sea,1993-01-05 00:00:00,32.14
Atlantic Ocean,1993-01-05 00:00:00,-12.31
Bay Bengal,1993-01-05 00:00:00,28.57
Bering Sea,1993-01-05 00:00:00,-15.85
Caribbean Sea,1993-01-05 00:00:00,-15.08
Gulf Mexico,1993-01-05 00:00:00,-25.75
Indian Ocean,1993-01-05 00:00:00,5.87
Indonesian,1993-01-05 00:00:00,-7.09
Mediterranean,1993-01-05 00:00:00,-83.58
Nino,1993-01-05 00:00:00,-4.33
North Atlantic,1993-01-05 00:00:00,-16.33
North Pacific,1993-01-05 00:00:00,-16.71
North Sea,1993-01-05 00:00:00,76.81
Pacific Ocean,1993-01-05 00:00:00,-24.28
Sea Japan,1993-01-05 00:00:00,-4.25
Sea Okhotsk,1993-01-05 00:00:00,-41.09
Southern Ocean,1993-01-05 00:00:00,-5.13
Tropics,1993-01-05 00:00:00,-19.54
World,1993-01-05 00:00:00,-14.55
