Country,ISO3,Date,Temp_Change
"Afghanistan, Islamic Rep. of",AFG,1961-01-01 00:00:00,-0.113
Albania,ALB,1961-01-01 00:00:00,0.627
Algeria,DZA,1961-01-01 00:00:00,0.164
American Samoa,ASM,1961-01-01 00:00:00,0.079
"Andorra, Principality of",AND,1961-01-01 00:00:00,0.736
Angola,AGO,1961-01-01 00:00:00,0.041
Anguilla,AIA,1961-01-01 00:00:00,0.086
Antigua and Barbuda,ATG,1961-01-01 00:00:00,0.09
Argentina,ARG,1961-01-01 00:00:00,0.122
"Aruba, Kingdom of the Netherlands",ABW,1961-01-01 00:00:00,-0.1
Australia,AUS,1961-01-01 00:00:00,0.157
Austria,AUT,1961-01-01 00:00:00,1.031
"Bahamas, The",BHS,1961-01-01 00:00:00,0.073
"Bahrain, Kingdom of",BHR,1961-01-01 00:00:00,-0.471
Bangladesh,BGD,1961-01-01 00:00:00,0.152
Barbados,BRB,1961-01-01 00:00:00,0.221
Belize,BLZ,1961-01-01 00:00:00,-0.001
Benin,BEN,1961-01-01 00:00:00,-0.137
Bhutan,BTN,1961-01-01 00:00:00,0.213
Bolivia,BOL,1961-01-01 00:00:00,0.247
Botswana,BWA,1961-01-01 00:00:00,0.151
Brazil,BRA,1961-01-01 00:00:00,0.167
British Virgin Islands,VGB,1961-01-01 00:00:00,0.093
Brunei Darussalam,BRN,1961-01-01 00:00:00,0.062
Bulgaria,BGR,1961-01-01 00:00:00,0.903
Burkina Faso,BFA,1961-01-01 00:00:00,-0.285
Burundi,BDI,1961-01-01 00:00:00,0.022
Cabo Verde,CPV,1961-01-01 00:00:00,-0.12
Cambodia,KHM,1961-01-01 00:00:00,-0.035
Cameroon,CMR,1961-01-01 00:00:00,-0.117
Canada,CAN,1961-01-01 00:00:00,0.057
Central African Rep.,CAF,1961-01-01 00:00:00,-0.003
Chad,TCD,1961-01-01 00:00:00,-0.409
Chile,CHL,1961-01-01 00:00:00,-0.301
"China, P.R.: Hong Kong",HKG,1961-01-01 00:00:00,0.055
"China, P.R.: Macao",MAC,1961-01-01 00:00:00,0.055
"China, P.R.: Mainland",CHN,1961-01-01 00:00:00,0.259
Colombia,COL,1961-01-01 00:00:00,0.09
"Comoros, Union of the",COM,1961-01-01 00:00:00,0.457
"Congo, Dem. Rep. of the",COD,1961-01-01 00:00:00,-0.03
"Congo, Rep. of",COG,1961-01-01 00:00:00,-0.172
Cook Islands,COK,1961-01-01 00:00:00,0.148
Cuba,CUB,1961-01-01 00:00:00,-0.084
Cyprus,CYP,1961-01-01 00:00:00,0.039
Denmark,DNK,1961-01-01 00:00:00,1.117
Djibouti,DJI,1961-01-01 00:00:00,0.118
Dominica,DMA,1961-01-01 00:00:00,-0.033
Dominican Rep.,DOM,1961-01-01 00:00:00,-0.009
Ecuador,ECU,1961-01-01 00:00:00,-0.108
"Egypt, Arab Rep. of",EGY,1961-01-01 00:00:00,-0.241
El Salvador,SLV,1961-01-01 00:00:00,-0.073
"Equatorial Guinea, Rep. of",GNQ,1961-01-01 00:00:00,-0.146
"Eswatini, Kingdom of",SWZ,1961-01-01 00:00:00,0.268
Falkland Islands (Malvinas),FLK,1961-01-01 00:00:00,-0.351
Faroe Islands,FRO,1961-01-01 00:00:00,0.63
"Fiji, Rep. of",FJI,1961-01-01 00:00:00,0.219
Finland,FIN,1961-01-01 00:00:00,1.892
France,FRA,1961-01-01 00:00:00,0.827
French Polynesia,PYF,1961-01-01 00:00:00,0.207
Gabon,GAB,1961-01-01 00:00:00,-0.139
"Gambia, The",GMB,1961-01-01 00:00:00,-0.138
Germany,DEU,1961-01-01 00:00:00,0.99
Ghana,GHA,1961-01-01 00:00:00,-0.07
Gibraltar,GIB,1961-01-01 00:00:00,0.595
Greece,GRC,1961-01-01 00:00:00,0.479
Greenland,GRL,1961-01-01 00:00:00,-0.295
Grenada,GRD,1961-01-01 00:00:00,0.114
Guadeloupe,GLP,1961-01-01 00:00:00,0.041
Guatemala,GTM,1961-01-01 00:00:00,-0.045
Guinea,GIN,1961-01-01 00:00:00,-0.145
Guinea-Bissau,GNB,1961-01-01 00:00:00,-0.13
Guyana,GUY,1961-01-01 00:00:00,0.043
Haiti,HTI,1961-01-01 00:00:00,-0.012
Holy See,VAT,1961-01-01 00:00:00,0.735
Honduras,HND,1961-01-01 00:00:00,-0.058
Hungary,HUN,1961-01-01 00:00:00,1.176
Iceland,ISL,1961-01-01 00:00:00,0.547
India,IND,1961-01-01 00:00:00,-0.208
Indonesia,IDN,1961-01-01 00:00:00,-0.096
"Iran, Islamic Rep. of",IRN,1961-01-01 00:00:00,-0.068
Iraq,IRQ,1961-01-01 00:00:00,-0.189
Ireland,IRL,1961-01-01 00:00:00,0.264
Isle of Man,IMN,1961-01-01 00:00:00,0.358
Israel,ISR,1961-01-01 00:00:00,-0.106
Italy,ITA,1961-01-01 00:00:00,0.805
Jamaica,JAM,1961-01-01 00:00:00,-0.021
Japan,JPN,1961-01-01 00:00:00,0.668
Jordan,JOR,1961-01-01 00:00:00,-0.189
Kenya,KEN,1961-01-01 00:00:00,0.258
Kiribati,KIR,1961-01-01 00:00:00,-0.038
"Korea, Dem. People's Rep. of",PRK,1961-01-01 00:00:00,0.495
"Korea, Rep. of",KOR,1961-01-01 00:00:00,0.637
Kuwait,KWT,1961-01-01 00:00:00,-0.225
Lao People's Dem. Rep.,LAO,1961-01-01 00:00:00,0.049
Lebanon,LBN,1961-01-01 00:00:00,0.002
"Lesotho, Kingdom of",LSO,1961-01-01 00:00:00,0.371
Liberia,LBR,1961-01-01 00:00:00,-0.095
Libya,LBY,1961-01-01 00:00:00,-0.473
Liechtenstein,LIE,1961-01-01 00:00:00,1.052
"Madagascar, Rep. of",MDG,1961-01-01 00:00:00,0.522
Malawi,MWI,1961-01-01 00:00:00,0.314
Malaysia,MYS,1961-01-01 00:00:00,-0.07
Mali,MLI,1961-01-01 00:00:00,-0.301
Malta,MLT,1961-01-01 00:00:00,0.551
Martinique,MTQ,1961-01-01 00:00:00,-0.04
"Mauritania, Islamic Rep. of",MRT,1961-01-01 00:00:00,-0.047
Mauritius,MUS,1961-01-01 00:00:00,0.524
Mayotte,MYT,1961-01-01 00:00:00,0.444
